Role,Username,Password,Full Name,Email,Phone,Status
"Quản trị viên hệ thống","admin","admin123","Admin cute","admin@university.edu.vn","0123456789","ACTIVE"
"Quản trị viên hệ thống","super_admin","admin123","Trần Thị Super Admin","superadmin@university.edu.vn","0987654321","ACTIVE"
"Trưởng khoa","hieu","truongkhoa123","Trần Thị Hiệu","hieu@university.edu.vn","0987654321","ACTIVE"
"Trưởng khoa","truong_khoa_cn","truongkhoa123","GS.TS. Lê Văn Trưởng Khoa CN","truongkhoa.cn@university.edu.vn","0123456780","ACTIVE"
"Trưởng khoa","truong_khoa_kt","truongkhoa123","PGS.TS. Nguyễn Thị Trưởng Khoa KT","truongkhoa.kt@university.edu.vn","0123456781","ACTIVE"
"Giảng viên","giang","giangvien123","Lê Văn Giảng","giang@university.edu.vn","0123456780","ACTIVE"
"Giảng viên","minh","giangvien123","Nguyễn Thị Minh","minh@university.edu.vn","0987654322","ACTIVE"
"Giảng viên","linh","giangvien123","Lê Thị Linh","linh@university.edu.vn","0987654324","ACTIVE"
"Giảng viên","hoang","giangvien123","Phạm Văn Hoàng","hoang@university.edu.vn","0987654325","ACTIVE"
"Giảng viên","giang_vien_1","giangvien123","TS. Phạm Văn Giảng Viên","giangvien1@university.edu.vn","0123456782","ACTIVE"
"Giảng viên","giang_vien_2","giangvien123","ThS. Trần Thị Giảng Viên","giangvien2@university.edu.vn","0123456783","ACTIVE"
"Giảng viên","giang_vien_3","giangvien123","TS. Lê Văn Giảng Viên","giangvien3@university.edu.vn","0123456784","ACTIVE"
"Nhân viên","nhan_vien_hr","nhanvien123","Nguyễn Thị Nhân Viên HR","nhanvien.hr@university.edu.vn","0123456785","ACTIVE"
"Nhân viên","nhan_vien_admin","nhanvien123","Trần Văn Nhân Viên Admin","nhanvien.admin@university.edu.vn","0123456786","ACTIVE"
"Nhân viên","nhan_vien_ke_toan","nhanvien123","Phạm Thị Nhân Viên Kế Toán","nhanvien.ketoan@university.edu.vn","0123456787","ACTIVE"
"Sinh viên","sinh","sinhvien123","Phạm Thị Sinh","sinh@university.edu.vn","0987654320","ACTIVE"
"Sinh viên","sinh_vien_1","sinhvien123","Nguyễn Văn Sinh Viên","sinhvien1@student.university.edu.vn","0123456788","ACTIVE"
"Sinh viên","sinh_vien_2","sinhvien123","Trần Thị Sinh Viên","sinhvien2@student.university.edu.vn","0123456789","ACTIVE"
"Sinh viên","sinh_vien_3","sinhvien123","Lê Văn Sinh Viên","sinhvien3@student.university.edu.vn","0123456790","ACTIVE"
"Sinh viên","sinh_vien_4","sinhvien123","Phạm Thị Sinh Viên","sinhvien4@student.university.edu.vn","0123456791","ACTIVE"
